A|American multinational conglomerate that became the parent company of Google.|QUxQSEFCRVQ=
B|Italian mobile application developer, based in Milan. One of the world's leading mobile developers, by number of app downloads. Hint: selected to design and develop Italy's official COVID-19 contact tracing app.|QkVORElORyBTUE9PTlM=
C|It sells networking hardware, software, telecommunications equipment. Specialized in specific tech markets, such as the Internet of Things (IoT), domain security and energy management.|Q0lTQ08=
D|The largest shipper of PC monitors worldwide|REVMTA==
E|Ranked first on the list of top earning online travel companies.|RVhQRURJQQ==
F|Non-profit organization, whose intent is to make learning web development accessible to anyone.|RlJFRUNPREVDQU1Q
G|provider of Internet hosting for software development. It has been a subsidiary of Microsoft since 2018.|R0lUSFVC
H|American multinational information technology company. The one-car garage in Palo Alto where it was founded is marked as the "Birthplace of Silicon Valley".|SFA=
I|Its Inventions include the automated teller machine (ATM), the floppy disk, the hard disk drive, the magnetic stripe card, the relational database, the SQL programming language, the UPC barcode, and dynamic random-access memory (DRAM).|SUJN
J|Czech software development company whose tools are targeted towards software developers and project managers.|SkVUQlJBSU5T
K|American public company that produces various products related to its historic basis in analogue photography.|S09EQUs=
L|Chinese multinational technology company. World's largest personal computer vendor by unit sales as of January 2021.|TEVOT1ZP
M|Global employment website. It is a subsidiary of Randstad Holding, a Dutch multinational human resource consulting firm, and is headquartered Massachusetts.|TU9OU1RFUg==
N|Its primary graphics processing units (GPU) line, labeled "GeForce", is in direct competition with the GPUs of the "Radeon" brand by Advanced Micro Devices (AMD).|TlZJRElB
O|It sells database software and technology, cloud engineered systems, and enterprise software products—particularly its own brands of database management systems. In 2020, it was the second-largest software company by revenue and market capitalization.|T1JBQ0xF
P|Originally called Confinity, it merged into X.com, an online banking company founded in January 1999 by Elon Musk.|UEFZUEFM
Q|Acquired by SAP, It became the first employee management platform measuring employee experiences through key metrics powered by predictive intelligence.|UVVBTFRSSUNT
R|In-memory data structure store, used as a distributed, in-memory key–value database, cache and message broker, with optional durability. It is open-source software. Hint: Remote DIctionary Server|UkVESVM=
S|German multinational software corporation that develops enterprise software to manage business operations and customer relations. Largest non-American software company by revenue.|U0FQ
T|known in China as Douyin, it's a video-sharing social networking service owned by Chinese company ByteDance.|VElLVE9L
U|American freelancing platform where enterprises and individuals connect in order to conduct business. Currently based in Santa Clara and San Francisco, California.|VVBXT1JL
V|American cloud computing and virtualization technology company first commercially successful company to virtualize the x86 architecture.|Vk1XQVJF
W|Monthly American magazine, published in print and online editions, that focuses on how emerging technologies affect culture, the economy, and politics.|V0lSRUQ=
X|Chinese multinational electronics company that released its first smartphone in August 2011 and rapidly gained market share.|WElBT01J
Y|One of the pioneers of the early Internet era. In 2000, it was the most popular website but its usage slowly declined as it lost market share to Google.|WUFIT08=
Z|global remote company that allows end users to integrate the web applications they use. based in Sunnyvale, California, it employs a workforce of 350 employees located around the United States and in 23 other countries.|WkFQSUVS
